exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
Not Android platform, skipping copyExternalDB
Treatment plans table ensured
Treatment plans table ensured
Treatment plans table ensured
Invoices table ensured
Invoices table ensured
Invoices table ensured
Checking App ID: 16, Start: 2023-08-06 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1332685m
Checking App ID: 17, Start: 2023-08-06 10:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1332595m
Checking App ID: 18, Start: 2023-08-06 11:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1332535m
Checking App ID: 19, Start: 2023-08-06 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1332325m
Checking App ID: 20, Start: 2023-08-06 16:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1332265m
Checking App ID: 21, Start: 2023-08-06 16:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1332255m
Checking App ID: 22, Start: 2023-08-06 17:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1332195m
Checking App ID: 23, Start: 2023-08-06 20:20:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1332005m
Checking App ID: 36, Start: 2023-08-19 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1313965m
Checking App ID: 37, Start: 2023-08-19 10:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1313905m
Checking App ID: 40, Start: 2023-08-19 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1313845m
Checking App ID: 41, Start: 2023-08-19 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1313785m
Checking App ID: 42, Start: 2023-08-19 11:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1313835m
Checking App ID: 43, Start: 2023-08-19 11:20:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1313825m
Checking App ID: 44, Start: 2023-08-20 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1312525m
Checking App ID: 45, Start: 2023-08-21 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1311085m
Checking App ID: 46, Start: 2023-08-24 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1306765m
Checking App ID: 47, Start: 2023-08-26 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1303885m
Checking App ID: 48, Start: 2023-08-31 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1296685m
Checking App ID: 49, Start: 2023-11-29 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1167025m
Checking App ID: 50, Start: 2023-10-15 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1231705m
Checking App ID: 51, Start: 2023-10-15 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1231705m
Checking App ID: 53, Start: 2023-09-04 10:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1290865m
Checking App ID: 54, Start: 2023-09-04 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1290745m
Checking App ID: 55, Start: 2023-09-04 13:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1290655m
Checking App ID: 56, Start: 2023-09-04 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1290745m
Checking App ID: 57, Start: 2023-09-04 17:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1290445m
Checking App ID: 58, Start: 2023-09-05 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1289485m
Checking App ID: 59, Start: 2023-09-04 15:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1290535m
Checking App ID: 60, Start: 2023-09-04 17:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1290415m
Checking App ID: 62, Start: 2023-09-12 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1279405m
Checking App ID: 63, Start: 2023-09-12 10:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1279345m
Checking App ID: 64, Start: 2023-09-12 10:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1279335m
Checking App ID: 65, Start: 2023-09-12 13:40:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1279125m
Checking App ID: 68, Start: 2023-09-12 10:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1279345m
Checking App ID: 69, Start: 2023-09-12 11:40:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1279245m
Checking App ID: 70, Start: 2023-09-12 12:40:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1279185m
Checking App ID: 71, Start: 2023-09-12 13:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1279155m
Checking App ID: 72, Start: 2023-09-13 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277965m
Checking App ID: 74, Start: 2023-09-13 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277725m
Checking App ID: 75, Start: 2023-09-13 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277845m
Checking App ID: 76, Start: 2023-09-13 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277665m
Checking App ID: 77, Start: 2023-09-13 15:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277575m
Checking App ID: 78, Start: 2023-09-13 16:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277515m
Checking App ID: 79, Start: 2023-09-13 10:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277875m
Checking App ID: 80, Start: 2023-09-13 17:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277455m
Checking App ID: 81, Start: 2023-09-14 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1276525m
Checking App ID: 82, Start: 2023-09-16 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273645m
Checking App ID: 83, Start: 2023-09-16 09:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273635m
Checking App ID: 84, Start: 2023-09-16 09:20:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273625m
Checking App ID: 85, Start: 2023-09-16 10:50:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273535m
Checking App ID: 86, Start: 2023-09-16 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273525m
Checking App ID: 87, Start: 2023-09-16 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273645m
Checking App ID: 88, Start: 2023-09-16 11:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273515m
